#options: 640x1138 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=901 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:93 out:90 type:P dur:2 cpbdur:2 q:37.43 aq:32.05 tex:38536 mv:9204 misc:2452 imb:112 pmb:1402 smb:1366 d:- ref:0 ;
in:91 out:91 type:B dur:2 cpbdur:2 q:37.62 aq:38.59 tex:741 mv:1954 misc:1201 imb:2 pmb:244 smb:2634 d:- ref:0 ;
in:90 out:92 type:b dur:2 cpbdur:2 q:37.71 aq:32.00 tex:16 mv:442 misc:478 imb:0 pmb:62 smb:2818 d:- ref:0 ;
in:92 out:93 type:b dur:2 cpbdur:2 q:37.52 aq:37.67 tex:355 mv:477 misc:424 imb:1 pmb:45 smb:2834 d:- ref:0 ;
in:97 out:94 type:P dur:2 cpbdur:2 q:37.04 aq:32.10 tex:33118 mv:8165 misc:2621 imb:92 pmb:1350 smb:1438 d:- ref:0 ;
in:95 out:95 type:B dur:2 cpbdur:2 q:37.23 aq:36.87 tex:237 mv:1159 misc:828 imb:0 pmb:129 smb:2751 d:- ref:0 ;
in:94 out:96 type:b dur:2 cpbdur:2 q:37.33 aq:37.75 tex:182 mv:84 misc:270 imb:0 pmb:12 smb:2868 d:- ref:0 ;
in:96 out:97 type:b dur:2 cpbdur:2 q:37.14 aq:36.82 tex:73 mv:156 misc:339 imb:0 pmb:24 smb:2856 d:- ref:0 ;
in:101 out:98 type:P dur:2 cpbdur:2 q:36.61 aq:30.96 tex:94083 mv:14466 misc:2235 imb:340 pmb:1632 smb:908 d:- ref:0 ;
in:99 out:99 type:B dur:2 cpbdur:2 q:36.83 aq:37.30 tex:5235 mv:5725 misc:1576 imb:78 pmb:471 smb:2331 d:- ref:0 ;
in:98 out:100 type:b dur:2 cpbdur:2 q:36.93 aq:37.70 tex:1066 mv:1894 misc:816 imb:7 pmb:190 smb:2683 d:- ref:0 ;
